,User Type,Material 1,Material 2,Select Printer,Printer Requested,Printed On,Material_Category1,Sliced by
Faculty / Staff,0.0,,,,,,,
Graduate,1.0,,,,,,,
Undergraduate,2.0,,,,,,,
Bambu Labs ABS,,0.0,0.0,,,,,
Bambu Labs ABS-GF,,1.0,,,,,,
Bambu Labs ASA,,2.0,1.0,,,,,
Bambu Labs PC,,3.0,2.0,,,,,
Bambu Labs PETG Basic,,4.0,3.0,,,,,
Bambu Labs PETG HF,,5.0,,,,,,
Bambu Labs PETG Translucent,,6.0,4.0,,,,,
Bambu Labs PLA Basic,,7.0,5.0,,,,,
Bambu Labs PLA Matte,,8.0,6.0,,,,,
Bambu Labs PLA-CF,,9.0,7.0,,,,,
Bambu Labs TPU 95A HF,,10.0,,,,,,
Formlabs BioMed Clear (v1),,11.0,,,,,,
Formlabs Black (v4),,12.0,,,,,,
Formlabs Black (v5),,13.0,,,,,,
Formlabs Clear (v3),,14.0,,,,,,
Formlabs Durable (v2),,15.0,,,,,,
Formlabs Elastic 50A (v1),,16.0,,,,,,
Formlabs Flexible 80A (v2),,17.0,,,,,,
Formlabs High Temp (v2),,18.0,,,,,,
Formlabs Rigid 4000 (v1),,19.0,,,,,,
Formlabs Tough 1500 (v1),,20.0,,,,,,
Formlabs Tough 1500 (v1.1),,21.0,,,,,,
Formlabs White (v4),,22.0,,,,,,
Formlabs White (v5),,23.0,,,,,,
Fromlabs Clear (v5),,24.0,,,,,,
Markforged Onyx,,25.0,,,,,,
Nylon 12,,26.0,,,,,,
Stratasys ABS M30,,27.0,9.0,,,,,
Stratasys PC-ABS,,28.0,,,,,,
Ultimaker Tough PLA,,29.0,11.0,,,,,
missing,,30.0,12.0,,,6.0,,
Markforged Fiberglass,,,8.0,,,,,
Stratasys QSR Support,,,10.0,,,,,
Bunny,,,,0.0,,,,
Chameleon,,,,1.0,,,,
Crane,,,,2.0,,,,
Croc,,,,3.0,,,,
Form 2 - CuddlyTurtle,,,,4.0,,,,
Form 2 - HolisticKitty,,,,5.0,,,,
Form 2 - PoisedCoyote,,,,6.0,,,,
Form 3 - AccurateGalah,,,,7.0,,,,
Form 3 - DynamicFox,,,,8.0,,,,
Form 3 - OvertWobbegong,,,,9.0,,,,
Form 3 - PrettyVulture,,,,10.0,,,,
Form 3 - SoftThylacine,,,,11.0,,,,
Form 4 - ActiveBobcat,,,,12.0,,,,
Form 4 - CuriousFalcon,,,,13.0,,,,
Form 4 - FluffyMallard,,,,14.0,,,,
Form 4 - GoofyGoshawk,,,,15.0,,,,
Form 4 - SassyGoldfinch,,,,16.0,,,,
Fuse 1,,,,17.0,2.0,2.0,,
Gator,,,,18.0,,,,
Kai,,,,19.0,,,,
Komodo,,,,20.0,,,,
Mantis,,,,21.0,,,,
Markforged Onyx Pro,,,,22.0,,,,
Master Oogway,,,,23.0,,,,
Master Shifu,,,,24.0,,,,
Mei Mei,,,,25.0,,,,
Monkey,,,,26.0,,,,
Mr. Ping,,,,27.0,,,,
Ox,,,,28.0,,,,
Po,,,,29.0,,,,
Rhino,,,,30.0,,,,
Shen,,,,31.0,,,,
Stratasys F370 (##52),,,,32.0,,,,
Stratasys F370 (##98),,,,33.0,,,,
Tai Lung,,,,34.0,,,,
Tigress,,,,35.0,,,,
Ultimaker S3 - Tahiti,,,,36.0,,,,
Ultimaker S5 - Chinstrap,,,,37.0,,,,
Ultimaker S5 - Emperor,,,,38.0,,,,
Ultimaker S5 - Galapagos,,,,39.0,,,,
Ultimaker S5 - Gentoo,,,,40.0,,,,
Ultimaker S5 - Humboldt,,,,41.0,,,,
Ultimaker S5 - Little Blue,,,,42.0,,,,
Viper,,,,43.0,,,,
Bambu Labs,,,,,0.0,0.0,,
Form 2/3/4,,,,,1.0,,,
Markforged,,,,,3.0,3.0,,
Stratasys F370,,,,,4.0,4.0,,
Ultimaker,,,,,5.0,5.0,,
Form 2/3,,,,,,1.0,,
ABS,,,,,,,0.0,
Nylon,,,,,,,1.0,
Other,,,,,,,2.0,
PLA,,,,,,,3.0,
Resin,,,,,,,4.0,
Makerspace Staff,,,,,,,,0.0
User,,,,,,,,1.0
User with Staff Assistance,,,,,,,,2.0
